Id,Name,Notes
14,"Consumption Behaviors, Abnormal (Includes changes in eating and/or drinking) ","STOP! Use ONLY for actual eating/drinking abnormalities: overeating, food hoarding, excessive drinking, unusual food choices, eating too fast/slow. DO NOT use for: chewing on non-food items (books, toys, fingers), mouthing objects, oral sensory-seeking behaviors, or chewing for stimulation. These are sensory behaviors (code 29), NOT consumption behaviors. The patient must actually be CONSUMING/INGESTING something abnormally, not just chewing or mouthing for sensory input."
15,Pica,"ONLY use when caregiver explicitly states patient SWALLOWS/EATS non-food items: 'eats dirt', 'swallows paper', 'ingests hair', and this behavior has persisted over a period of at least one month — NOT for chewing, mouthing, or tasting non-food items without swallowing, or when the behavior has been present for less than one month"
16,"Crying, abnormal (includes spontaneous, inconsolable, lack of) ","ONLY use when caregiver describes extreme crying patterns: completely inconsolable for hours, crying for no apparent reason repeatedly, or complete absence of crying when pain/distress would be expected - NOT for normal fussiness or brief crying episodes."
17,Disinhibition,"ONLY use when caregiver describes patient acting without social boundaries: approaching strangers inappropriately, removing clothes in public, saying inappropriate things to strangers, disregarding social conventions, or showing poor risk assessment in social settings - behaviors stemming from a failure to resist temptations or urges in social contexts. — NOT for general impulsivity or rule-breaking that does not specifically involve violations of social boundaries or conventions."
18,"Social Behavior, abnormal (Includes inappropriate behavior, overly friendly, physical contact seeking/avoiding, attention seeking, interest in others, emotional immaturity)   ","ONLY use when caregiver describes very specific inappropriate social behaviors: touching strangers' faces, hugging unknown people, complete avoidance of all eye contact, or extreme social immaturity far beyond age expectations - NOT for shyness, preferring adults, or mild social delays."
19,"ADHD (includes hyperactivity, ADD)","ONLY use when caregiver explicitly states 'ADHD', 'ADD', 'attention deficit', or 'hyperactivity disorder' diagnosis OR describes medication for ADHD (Adderall, Ritalin, Concerta) - NOT for general hyperactivity, impulsivity, or attention problems without formal diagnosis."
20,Impulsivity,"ONLY use when caregiver describes extreme impulsive acts with potential danger: sudden bolting into traffic, grabbing knives, jumping from heights, or other clearly dangerous impulsive behaviors where there is an inability to inhibit or control behavior, acting without consideration of outcomes, difficulty establishing or following plans, and experiencing a sense of urgency that leads to uninhibited and uncontrolled actions — NOT for normal childhood impulsivity, interrupting, grabbing toys, or behaviors where the child can demonstrate some level of impulse control"
21,Excitable,Over'-'stimulation
22,Lethargy (includes increasing with age),"REVIEW FEEDBACK: Only use for clearly abnormal lethargy/excessive sleepiness beyond normal tiredness. Reviewer noted uncertainty about what counts as abnormal. Requires clear indication this is pathological fatigue, not just being tired."
23,"Maladaptive behaviors (includes biting, hair'-'pulling, pinching slapping, yelling)","ONLY use when caregiver explicitly describes patient doing these specific behaviors to others: 'bites other kids', 'pulls people's hair', 'pinches others', 'slaps people', 'yells at others' - NOT for self-injury behaviors (use code 31) or aggressive behaviors covered by code 11."
24,Mouth stuffing and pocket filling,"ONLY use when caregiver describes extreme eating behaviors: stuffing mouth so full patient cannot chew/swallow safely, storing large amounts of food in cheeks like a chipmunk, or hoarding food in mouth - NOT for normal big bites or eating quickly."
25,"Oppositional behaviors, includes oppositional defiance disorder","ONLY use when caregiver explicitly states 'ODD', 'oppositional defiant disorder' diagnosis OR describes extreme defiance: refusing all requests, saying 'no' to everything consistently, deliberately doing opposite of instructions, with an enduring pattern of uncooperative, defiant, and hostile behavior towards authority figures that results in significant functional impairment — NOT for normal toddler defiance, occasional resistance, behaviors that involve major antisocial violations, or behaviors that are appropriate for the child's developmental stage"
26,"Repetitive behaviors (includes OCD, hand-wringing, compulsions, rituals, loud repetitive vocalizations)","ONLY use when caregiver describes extreme repetitive behaviors that interfere with daily life: must perform rituals for hours, repetitive movements that prevent other activities, or compulsions that cause distress when interrupted - NOT for normal routines, preferences, or occasional repetitive play."
27,"Fixated interest, or atypical interest in or use of objects (such as water, crinkly items, mirrors, reflections, paper, twirling hair, music, outdoors, ceiling fans, vehicles, opening closing doors","ONLY use when caregiver describes obsessive, intense fascination with specific objects that dominates daily life: spending hours staring at fans, unable to function without touching mirrors, extreme distress when separated from specific object - NOT for normal strong interests or preferences."
28,Perseveration (includes repetitive speech/verbalization),"ONLY use when caregiver describes speech stuck on same topic for extended periods: repeating same question 50+ times, unable to stop talking about one subject despite redirection, or echolalia that interferes with communication - NOT for normal repetition during learning or favorite topics."
29,"Sensory behavior, abnormal (sensory-seeking, spinning, eye'-'poking, hair brushing, touching hands)",HP:4000079
30,"Restlessness (includes agitation, exploratory mobility) ","ONLY use when caregiver describes constant, persistent inability to stay still that interferes with daily activities: cannot sit for meals, constantly moving during quiet activities, or agitation that disrupts sleep/learning - NOT for normal active behavior, occasional fidgeting, or age-appropriate energy levels."
31,"Self'-'Injurious Behavior (include self'-'harm, head banging, trichotillomania, wound picking, skin picking, biting self)","ONLY use when caregiver explicitly describes patient causing physical harm to themselves: repeated head-banging causing bruises, skin picking causing wounds, biting self hard enough to leave marks - NOT for occasional scratching, mild hair twisting, or brief frustrated hitting that doesn't cause injury."
32,Temper tantrums,"ONLY use when caregiver describes extreme meltdowns far beyond typical tantrums: lasting over 30 minutes, requiring multiple adults to manage, or causing physical exhaustion; these abnormal temper tantrums occur more frequently, are more severe in symptoms, and are inappropriate for the child's developmental age — NOT for normal age-appropriate tantrums, brief crying episodes, typical frustration responses, or temper displays that occur as part of the normal developmental process"
33,Cardiorespiratory,ONLY use as a domain header for organizing cardiorespiratory conditions - NOT for coding individual patient symptoms or diagnoses.
34,"Cardiac Defect/Structural Abnormality (pulmonary atresia, murmur, mitral valve disease, enlarged, atrial septal defects, arrythmia, murmur, bradycardia, low heart rate)","ONLY use when caregiver or clinician explicitly states a diagnosed structural heart defect: 'ASD', 'hole in heart', 'valve disease', 'heart murmur', 'enlarged heart' with medical confirmation - NOT for heart rate variations, exercise intolerance, or vague heart concerns without structural diagnosis."
35,"Cardiac Failure (Heart Failure, Hypertrophy, Cardiomyopathy)","ONLY use when caregiver or clinician explicitly states 'heart failure', 'cardiomyopathy', 'enlarged heart muscle', or describes severe heart function problems requiring medication/intervention - NOT for heart murmurs, irregular rhythms, or structural defects without failure."
36,Dystussia (difficulty coughing),"ONLY use when caregiver explicitly describes patient cannot cough effectively: 'can't clear throat', 'weak cough', 'unable to cough up mucus' causing respiratory problems - NOT for occasional coughing, throat clearing, or normal cough variations."
37,Hypersecretion,excess fluid of all kinds
38,Irregular Heart Rate,"ONLY use when caregiver or clinician explicitly states 'irregular heartbeat', 'arrhythmia', 'heart skips beats', or describes documented rhythm abnormalities on EKG/monitor, including arrhythmias of sinus or ectopic origin, disturbances in impulse formation or conduction, and specific conditions like atrial fibrillation characterized by disorganized atrial activity without discrete P waves on EKG, with an undulating baseline or sharply circumscribed atrial deflections of varying amplitude and frequency ranging from 350-600 per minute — NOT for fast heart rate during activity, feeling heart beating, vague heart sensations, or any cardiac symptoms without explicit mention of rhythm irregularity or documentation on EKG/monitor"
39,"Blood pressure, abnormal (hypertension, hypotension, high, low)","ONLY use when caregiver or clinician explicitly states 'high blood pressure', 'hypertension', 'low blood pressure', 'hypotension' with medical documentation or medication for BP - NOT for single elevated readings, white coat hypertension, or unconfirmed pressure concerns."
40,"Lower Respiratory Infections, recurrent, includes pneumonia","ONLY use when caregiver describes 2+ documented episodes of pneumonia or lower respiratory infections within a year: 'had pneumonia twice', 'keeps getting lung infections', multiple antibiotic courses for chest infections - NOT for single pneumonia, upper respiratory infections, or bronchitis."
41,"Respiration, Abnormal (Includes Asthma, Hypoxia, Restrictive Airway Disease)","ONLY use when caregiver explicitly states 'asthma', describes inhaler use, mentions oxygen needs, or clinician documents restrictive airway disease - NOT for occasional wheezing, exercise-induced breathing changes, or mild respiratory symptoms without diagnosis."
42,Apneic Episodes,"ONLY use when caregiver explicitly describes patient stops breathing: 'stops breathing while sleeping', 'holds breath for long periods', documented apneas on sleep study, recurrent episodes of apnea occurring during infancy, or recurrent episodes of apnea precipitated by factors such as illness, fatigue, or stress - where apnea involves a complete lack of breathing with no movement of respiratory muscles and no exchange of air in the lungs — NOT for breath-holding during crying, irregular breathing patterns, or snoring without apneas, single isolated apneic events, or instances where respiratory muscle movement or air exchange is still occurring"
43,"Aspiration, Includes Silent","ONLY use when caregiver describes food/liquid going into lungs: 'chokes and food goes down wrong way', swallow study shows aspiration, clinician documents aspiration risk, or there is evidence of inspiration of foreign objects into the airway which may lead to aspiration pneumonia or when patients have a medical history of repeated episodes of aspiration pneumonia — NOT for occasional coughing while eating, gagging, or normal swallowing difficulties that do not result in material entering the upper respiratory tract"
44,Respiratory Distress/Failure,"Only use for serious respiratory events: ventilator dependence, respiratory failure, acute distress requiring intervention. Brief neonatal apnea that self-resolved is NOT respiratory distress/failure."
45,Structural Respiratory Abnormality (pulmonary atresia),"ONLY use when caregiver or clinician explicitly states diagnosed structural lung/airway abnormality: 'lung didn't develop right', 'airway malformation', 'pulmonary atresia' with medical confirmation - NOT for functional breathing problems or asthma without structural defects."
46,Syncope (fainting),"ONLY use when caregiver explicitly describes patient faints or loses consciousness: 'passes out', 'blacks out', 'faints', falls unconscious with complete loss of awareness - NOT for dizziness, feeling faint, brief weakness, or nearly fainting without loss of consciousness."
47,"Tonsils/Adenoids, Abnormal","ONLY use when caregiver or clinician explicitly states 'enlarged tonsils', 'big adenoids', tonsillectomy/adenoidectomy performed, or sleep study shows obstruction from tonsils/adenoids - NOT for occasional sore throats, snoring without documented enlargement, or frequent colds."
48,"Upper Respiratory Infections, recurrent, sinusitus","ONLY use when caregiver describes 6+ colds/sinus infections per year or chronic sinusitis: 'always has a runny nose', 'constantly sick with colds', antibiotic treatment for recurrent sinus infections, or recurrent upper respiratory tract infections that may include otitis, pharyngitis, or tonsillitis, reflecting an increased susceptibility to respiratory infections in general — NOT for normal childhood colds, seasonal allergies, or occasional upper respiratory illness"
49,Cognition,"ONLY use as a domain header for organizing cognitive conditions or threat-based cognitive biases that result in skewed perception, experience, or processing of internal or external stimuli — NOT for coding individual patient symptoms or diagnoses"
50,Abstract Concepts Difficult ,"(no concept of time for example, in the presence of normal intellectual ability) | Only use when caregiver explicitly describes difficulty with abstract thinking (time concepts, money, hypotheticals) IN THE PRESENCE OF otherwise normal intellectual ability. General cognitive delay is not this code."
51,Cognitive Decline/Regression,"Only use when caregiver describes clear DECLINE from a previous cognitive level (e.g., used to know letters, now does not). Fluctuating skills or slow progress is NOT cognitive decline."
52,Memory Challenges,"ONLY use when caregiver describes significant memory problems affecting daily life: 'forgets instructions immediately', 'can't remember what happened yesterday', requires constant reminders for routine tasks, or shows reduction in ability to retrieve information about how to perform activities such as riding a bike, driving a car, performing activities of daily living, or playing a musical instrument — NOT for occasional forgetfulness, distractibility, or age-appropriate memory limitations"
53,"Reduced consciousness (includes coma, vegetative state, unconscious)","Abnormally diminished level of attention, responsiveness, or wakefulness.HP:0004372  Vegetative state: The absence of wakefulness and consciousness, but in contrast to a coma, there is involuntary opening of the eyes and movements such as teeth grinding, yawning, or thrashing of the extremities."
54,"Executive Function Skills, Impaired (logic, planning, time'-'management, organization)","Only use when caregiver explicitly describes problems with planning, organization, time management, or logical sequencing. Do NOT use for general cognitive slowness, processing delays, or lack of safety awareness."
55,"Global Developmental Delay (Children < 5, includes Vineland, VABS-3, lower adaptive behavior) ","https://hpo.jax.org/app/browse/term/HP:0001263
A delay in the achievement of motor or mental milestones in the domains of development of a child, including motor skills, speech and language, cognitive skills, and social and emotional skills. This term should only be used to describe children younger than five years of age.
Developmental retardation is any significant lag in development in the any or all of the physical, cognitive, behavioral, emotional, or social spheres. Note that the term intellectual disability refers to not merely a delay in development but rather a permanent limitation. Note that the term 'psychomotor retardation' is also used in some contexts to refer to a slowing of thought and physical movements as a result of major depression or intoxication.
Use when there are delays in two or more domains. Co-code with specific delays when applicable."
56,Intellectual Disability (includes Cognitive Disability),"Intellectual disability, previously referred to as mental retardation, is characterized by subnormal intellectual functioning that occurs during the developmental period. It is defined by an IQ score below 70.
This term should be used for children who are at least five years old. For younger children, consider using the term Global developmental delay (HP:0001263).
"
57,Cognitive impairment,"ONLY use when caregiver or clinician explicitly states ""cognitive impairment"" and more specific codes (ID/GDD) don't apply — describes general thinking, reasoning, or remembering difficulties without formal diagnosis. NOT for learning problems, attention issues, or specific skill delays. For children under 5, prefer [55] Global Developmental Delay unless cognitive impairment is explicitly stated. The highlighted text must demonstrate actual cognitive deficits, not just need for future help or support."
58,Judgement Impaired: Danger awareness limited,"ONLY use when caregiver describes patient has no understanding of safety dangers: walks into traffic without looking, approaches dangerous situations without fear, completely unaware of basic safety risks - NOT for typical childhood risk-taking, mild impulsivity, or needing supervision for complex safety situations."
59,Memory Enhanced,"ONLY use when caregiver explicitly describes patient has unusually exceptional memory abilities: 'remembers everything from years ago', 'can recite entire books from memory', photographic recall that amazes others - NOT for good memory for favorite topics, remembering routines well, or age-appropriate memory skills."
60,Learning disability (includes dyslexia),"ONLY use when caregiver or clinician explicitly states 'learning disability', 'dyslexia', 'LD' diagnosis, or describes formal testing showing specific learning disorder - NOT for general academic struggles, developmental delays, or difficulty with school subjects without formal LD diagnosis."
61,Processing Disorder (includes agnosia),HP:0010524
62,Communication,"ONLY use as a domain header for organizing communication conditions, which encompasses any form of communication (verbal or non-verbal) that does not align with cultural expectations or developmental level — NOT for coding individual patient symptoms or diagnoses"
63,Dysarthria,"ONLY use when caregiver or clinician explicitly describes slurred, effortful speech due to muscle weakness: 'speech is slurred', 'hard to understand because muscles don't work right', difficulty moving mouth/tongue for speech, or when they specifically describe neurological speech disorder characterized by poor articulation (which may be classified as spastic, flaccid, ataxic, hyperkinetic, hypokinetic, or mixed dysarthria depending on the involved neurological structures). — NOT for unclear speech due to language delays, articulation errors, or normal speech development variations."
64,Echolalia,"ONLY use when caregiver explicitly describes patient repeats words/phrases others say: 'copies everything we say', 'repeats TV shows word for word', immediate or delayed repetition of speech. The repetition may be automatic, imitative, and occur without explicit awareness. The repeated words or phrases are typically odd or used in a non-social manner. These can be words or phrases that the affected individual has heard or invented. — NOT for learning language by repetition, asking questions repeatedly, or normal language imitation during development."
65,Speech Delay,"ONLY use when caregiver explicitly states first words/sentences came much later than typical: 'didn't say first word until 3', 'no sentences until 4 years old', significantly behind speech milestones - NOT for mild delays, unclear speech, or children who are completely non-speaking (use code 72)."
66,Expressive Communication Decreased,"ONLY use when caregiver describes patient has great difficulty expressing wants/needs: very limited vocabulary for age, extreme frustration trying to communicate, relies heavily on gestures because words are insufficient, and demonstrates a specific delay in acquiring language ability to communicate needs, wishes, or thoughts — NOT for mild speech delays, shyness, or preferring non-verbal communication when verbal is available"
67,"Non-speaking communication through the use of eye contact, facial expression, body postures and gestures","ONLY use when caregiver describes patient deliberately uses non-verbal methods to communicate specific messages: points to request items, uses facial expressions to show emotions, intentional gestures to convey meaning. This includes assessment of abnormal facial expressions with specific focus on quantity, range, context-appropriateness, and quality during social interactions. — NOT for random gestures, stimming behaviors, or incidental non-verbal behaviors without communicative intent."
68,Verbal Language can be used to Communicate (Includes few words),"ONLY use when caregiver describes patient can use some words/phrases meaningfully for communication: says a few words to request/protest, uses simple phrases to communicate needs, functional verbal communication even if limited - NOT for non-speaking patients, those who only echo without meaning, or vocalizations without communicative purpose."
69,Sign language (includes ASL),"ONLY use when caregiver explicitly states patient uses formal sign language for daily communication: 'uses ASL', 'communicates with signs', 'we learned sign language' - NOT for simple gestures, pointing, waving, or informal hand signals without formal sign language training."
70,Receptive Communication Decreased,"ONLY use when caregiver describes patient has significant difficulty understanding spoken language: 'doesn't understand simple instructions', 'acts like deaf but hearing is normal', needs instructions repeated multiple times or simplified, or shows delayed development of receptive language skills — NOT for mild delays, selective listening, or age-appropriate comprehension limits"
71,"Speech, Abnormal","ONLY use when caregiver describes distinctive speech quality abnormalities: 'sounds robotic', 'talks through nose', 'monotone voice', 'weird pitch', abnormal volume or rate (cadence) of speech that's consistently present - speech rhythm or pattern abnormalities may occur constantly throughout conversations or in periodic bursts lasting several minutes to hours — NOT for developmental articulation errors, volume issues not related to speech quality abnormalities, or speech delays covered by other codes"
72,"Speech, Absent (Non-speaking)",HP:0001344
73,Speech Impediment (includes pronunciation/verbal impairments '-' cerebellar),"ONLY use when caregiver describes specific articulation problems affecting understanding: 'can't say certain sounds', 'slurs words', 'speech is hard to understand because of pronunciation' - NOT for developmental speech delays, language delays, or speech clarity issues due to oral motor problems."
74,Speech Regression,"ONLY use when caregiver explicitly describes patient lost previously mastered words: 'used to say 20 words but stopped', 'talked in sentences then went silent', clear loss of established speech abilities - NOT for plateauing, temporary setbacks during illness, or slower progress."
75,Strong Desire to Communicate,"ONLY use when caregiver describes patient actively tries multiple ways to communicate despite limitations: 'tries so hard to tell us things', 'gets frustrated trying to communicate', 'keeps trying different ways to get message across' - NOT for basic interaction, following routines, or normal social engagement."
76,"Verbal Approximation, vocalizes but does not have full speech (baba, wawa) ","ONLY use when caregiver describes patient makes syllable-like sounds but no clear words: 'says baba and mama but not meaningfully', 'makes sounds like words but unclear', consistent vocal attempts without real words - NOT for babbling in infants under 18 months or clear word attempts."
77,Emotional,ONLY use as a domain header for organizing emotional conditions - NOT for coding individual patient symptoms or diagnoses.
78,"Anxiety (includes panic attacks, social anxiety, separation anxiety)","ONLY use when caregiver or clinician explicitly describes diagnosed anxiety or severe anxiety symptoms: 'has panic attacks', 'extreme separation anxiety requiring therapy', 'social anxiety prevents activities', anxiety medication prescribed - NOT for normal worries, shyness, or age-appropriate fears without clinical significance."
79,Apathy,"Apathy is a quantitative reduction of motivation and the initiation and persistence of goal'-'directed behavior, where the accompanying emotions, thoughts, and social interactions are also suppressed."
80,"Fear, Abnormal","ONLY use when caregiver describes extreme, irrational fears that significantly interfere with daily life: 'terrified of harmless objects', 'screams in panic at normal sounds', phobias requiring therapy, observable avoidance behaviors and abnormal responses to fear, including specific anxiety disorders characterized by avoidance of public places or crowds (agoraphobia) — NOT for age-appropriate fears, normal anxiety, reasonable caution, or typical cautious behaviors in genuinely threatening situations"
81,Frustration (symptom),"ONLY use when caregiver describes patient becomes extremely frustrated specifically due to communication barriers or physical limitations: 'gets so frustrated trying to tell us', 'cries because can't do things' - NOT for normal behavioral frustrations, tantrums, or general irritability."
82,Happy Demeanor (includes Placid/Content),"ONLY use when caregiver consistently describes patient as unusually content and happy across all situations: 'always smiling', 'never gets upset about anything', 'content even when should be frustrated' - NOT for generally pleasant mood, good days, or normal happiness."
83,Irritability,"ONLY use when caregiver describes persistent, frequent irritability that interferes with daily functioning: 'irritated by everything', 'snaps at everyone constantly', requires behavior management, showing a proneness to anger with a tendency to become easily bothered or annoyed — NOT for occasional bad moods, age-appropriate grumpiness, or situational irritation"
84,Mood Swings (includes lack of self'-'regulation),"ONLY use when caregiver describes extreme, rapid mood changes within short periods: 'happy to screaming in seconds', 'emotions change constantly throughout day', unpredictable emotional shifts - NOT for normal emotional responses, age-appropriate mood variations, or gradual mood changes."
85,"Neuropsychiatric Issues (includes suspicion of bipolar, bipolar, hallucinations, catatonia, schizophrenia, depression)","ONLY use when caregiver or clinician explicitly states specific psychiatric diagnoses: 'bipolar disorder', 'sees things that aren't there', 'hears voices', 'catatonic episodes', psychiatric medication prescribed - NOT for general behavioral issues, mood problems, or developmental concerns without psychiatric diagnosis."
86,Endocrine,ONLY use as a domain header for organizing endocrine conditions - NOT for coding individual patient symptoms or diagnoses.
87,Adrenal Gland Abnormality (Includes adrenal insuffiency),"ONLY use when caregiver or clinician explicitly states diagnosed adrenal disorder: 'adrenal insufficiency', 'Addison's disease', 'adrenal glands don't work', steroid replacement therapy - NOT for fatigue, stress responses, or vague endocrine concerns without specific adrenal diagnosis."
88,Diabetes type 2,"ONLY use when caregiver or clinician explicitly states 'type 2 diabetes' diagnosis with blood sugar management: diabetes medication, insulin, blood sugar monitoring, insulin resistance, hyperinsulinemia, glucose intolerance, or hyperglycemia — NOT for pre-diabetes, gestational diabetes, type 1 diabetes, or family history of diabetes"
89,Growth hormone deficiency,"ONLY use when caregiver or clinician explicitly states 'growth hormone deficiency' diagnosis with medical treatment: 'GH shots', 'growth hormone therapy', documented lab results showing concentration of growth hormone in blood circulation below normal limits, or confirmed by testing with growth hormone-releasing hormone administration — NOT for short stature, slow growth, or growth concerns without formal GH deficiency diagnosis"
90,Premenstrual syndrome (PMS) (includes PMDD),"premenstrual syndrome, premenstrual dysphoric disorder, catamenial epilepsy"
91,Puberty and gonadal disorders (includes PCOS),"ONLY use when caregiver or clinician explicitly states diagnosed disorders: 'PCOS', 'delayed puberty', 'precocious puberty', 'ovarian cysts', hormonal treatment for puberty issues - NOT for normal pubertal variations, early/late development within normal range, or general reproductive concerns."
92,"Thyroid, abnormal","ONLY use when caregiver or clinician explicitly states thyroid disorder diagnosis: 'hypothyroid', 'hyperthyroid', 'thyroid medication', 'abnormal thyroid labs', 'Synthroid' - NOT for fatigue, weight changes, or growth issues without documented thyroid abnormality."
93,Gastrointestinal,ONLY use as a domain header for organizing gastrointestinal conditions - NOT for coding individual patient symptoms or diagnoses.
94,Abdominal Symptoms,"ONLY use when caregiver describes persistent abdominal pain or discomfort that doesn't fit other specific GI codes: 'stomach hurts frequently', 'belly pain most days', chronic abdominal discomfort - NOT for occasional stomach aches, meal-related discomfort, or symptoms better classified by specific GI codes."
95,"Appetite, Poor","ONLY use when caregiver describes persistently poor appetite affecting nutrition: 'never wants to eat', 'has to force food', 'appetite has been terrible for months', weight loss due to poor eating - NOT for picky eating, food preferences, or temporary appetite changes during illness."
96,Constipation,"ONLY use when caregiver describes chronic bowel problems: 'hasn't had a bowel movement in days', 'stools are very hard', 'strains to poop', uses Miralax/laxatives regularly, experiences difficult evacuation of feces, has fewer than 3 bowel movements per week lasting longer than three months, or reports sensations of anorectal obstruction or incomplete defecation — NOT for occasional hard stools, dietary-related changes, single episodes, or constipation lasting less than three months"
97,Diarrhea,"ONLY use when caregiver describes frequent loose/watery stools (defined as three or more loose or watery bowel movements per day) as an ongoing problem: 'loose stools every day', 'chronic diarrhea' (persisting for over 4 weeks), 'watery bowel movements for weeks' — NOT for stomach bugs, temporary illness-related diarrhea, or occasional loose stools that don't meet the criteria of frequency (three or more daily) or chronicity (persisting over 4 weeks)"
98,"Distended/protruding abdomen, bloating","ONLY use when caregiver describes persistent abdominal distension: 'belly is always swollen', 'stomach sticks out', 'looks pregnant from bloating', chronic abdominal distension - NOT for post-meal fullness, occasional bloating, or normal toddler belly appearance."
99,Malrotation,"ONLY use when caregiver or clinician explicitly states 'malrotation' diagnosis: 'intestinal malrotation', 'bowel malrotation', surgical correction for malrotation - a developmental anomaly involving abnormal rotation/fixation of the midgut during embryologic development, resulting in mislocalization of the small bowel, which can lead to volvulus (twisting of the intestine) potentially causing obstruction and necrosis — NOT for general GI issues, feeding problems, or abdominal symptoms without specific malrotation diagnosis; not to be used for other causes of intestinal obstruction or abdominal pain without confirmed malrotation"
100,"Vomiting, Includes Cyclic","ONLY use when caregiver describes recurrent vomiting episodes: 'throws up every few weeks', 'cyclic vomiting', 'vomits for days then fine', pattern of repeated vomiting, or paroxysmal episodes of vomiting — NOT for single stomach bugs, occasional vomiting, or vomiting during illness"
101,"Dysmotility (includes slow gastric emptying, neurologic gut, slow motility)","ONLY use when caregiver or clinician explicitly states motility disorder: 'slow gastric emptying', 'gastroparesis', 'food sits in stomach too long', documented motility study abnormalities - NOT for general feeding difficulties, reflux, or digestive complaints without motility diagnosis."
102,Esophagitis,"ONLY use when caregiver or clinician explicitly states 'esophagitis' diagnosis: 'inflamed esophagus', 'esophageal inflammation', endoscopy showing esophagitis, including specific types such as Candida esophagitis (an opportunistic infection common in immunosuppressed patients) or eosinophilic esophagitis (characterized by infiltration of numerous eosinophils, usually >15 per high power field, into the squamous epithelium of the esophagus) — NOT for heartburn, reflux symptoms, or swallowing difficulties without confirmed esophageal inflammation, and not for symptoms alone such as dysphagia, odynophagia, or retrosternal pain without explicit diagnosis of esophagitis or confirmatory endoscopic findings"
103,Gagging,"ONLY use when caregiver describes frequent gagging during feeding: 'gags on most foods', 'chokes on liquids', 'gags when trying to eat', persistent feeding-related gagging - NOT for occasional gagging, texture preferences, or normal gag reflex responses."
104,"GI morphology, structure, abnormal","ONLY use when caregiver or clinician explicitly states structural GI abnormality: 'intestinal defect', 'bowel malformation', 'abnormal GI anatomy', structural abnormalities of the esophagus, structural anomalies of the gallbladder, or surgical repair of GI structure — NOT for functional GI problems, feeding issues, or symptoms without documented structural abnormalities"
105,"Infant Feeding Issues (Includes poor sucking, chewing)","ONLY use when caregiver describes significant feeding problems in infancy: 'can't suck properly', 'weak suck', 'chokes on bottles', 'can't coordinate suck-swallow', feeding therapy needed - NOT for normal feeding variations, picky eating, or minor feeding adjustments."
106,Leaky Gut (reduced nutrient absorption),"ONLY use when caregiver or clinician explicitly mentions 'leaky gut', 'intestinal permeability', 'malabsorption', or documented nutrient absorption problems with specific testing - NOT for general digestive issues, food sensitivities, or nutritional concerns without absorption diagnosis."
107,Reflux (Includes GERD),"ONLY use when caregiver describes persistent reflux symptoms: 'spits up constantly', 'vomits acid', 'GERD diagnosis', uses reflux medications (Prilosec, Nexium, Pepcid, Prevacid, Zantac) - NOT for occasional spit-up, normal infant reflux, or single episodes."
108,"Gastrointestinal, other",ONLY use when caregiver describes GI symptoms that don't fit other specific codes: unusual digestive issues not captured elsewhere - NOT as a general category for any digestive complaint when more specific codes apply.
109,Genitourinary ,"ONLY use as a domain header for organizing Genitourinary conditions, including tumors (abnormal growth of tissue) of the genitourinary system and anomalous structural findings of the fetal genitourinary system that can only be observed prenatally — NOT for coding individual patient symptoms or diagnoses, as this is strictly a classification header rather than a diagnostic term"
